,start_time,end_time,85度c,coco,subway,二弄堂,品嘉日式料理,四海遊龍,天晟燒臘,姊妹飯桶,拉亞漢堡,李記小館,極麵道,樂軒食堂,比司多,比司多_研三,漢堡王,火山丼,茶壜,郁百分水果行,鑫源冰果店,隆太郎金牌燒臘
Saturday,16:30,17:00,t,t,t,t,f,f,f,f,f,t,t,t,f,f,t,t,f,f,f,f
Saturday,17:00,19:30,t,t,t,t,f,f,f,f,f,t,t,t,f,f,t,t,f,f,f,t
Saturday,19:30,20:00,t,t,t,t,f,f,f,f,f,t,f,t,f,f,t,t,f,f,f,t
Saturday,20:00,21:00,t,t,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
Saturday,21:00,21:30,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Saturday,21:30,24:00:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Sunday,00:00,07:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Sunday,07:00,08:00,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
Sunday,08:00,09:00,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
Sunday,09:00,09:30,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f
Sunday,09:30,10:30,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f
Sunday,10:30,11:00,t,f,t,f,f,f,f,t,f,f,f,f,f,f,t,f,t,t,f,f
Sunday,11:00,13:30,t,f,t,t,t,t,t,t,f,f,f,t,f,f,t,t,t,t,f,f
Sunday,13:30,14:00,t,f,t,t,t,t,f,f,f,f,f,t,f,f,t,t,t,f,f,f
Sunday,14:00,16:30,t,f,t,f,f,t,f,f,f,f,f,f,f,f,t,f,t,t,f,f
Sunday,16:30,19:30,t,f,t,t,t,t,t,t,f,f,f,t,f,f,t,t,t,t,f,f
Sunday,19:30,20:00,t,f,t,t,t,t,f,f,f,t,f,t,f,f,t,t,t,t,f,f
Sunday,20:00,21:00,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
Sunday,21:00,24:00:00,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
